ID	Gene	Group	score	bd.score
60	BCL6	Tumor2	-0.214849865	-0.214849865
61	EZR	Tumor2	-0.619346981	-0.619346981
62	ISG20	Tumor2	-0.230708804	-0.230708804
63	AICDA	Tumor2	0	0
64	FRZB	Tumor2	-0.577350269	-0.577350269
65	HOPX	Tumor2	-0.926927475	-0.926927475
66	BTNL9	Tumor2	-0.577350269	-0.577350269
67	FGFR1	Tumor2	-0.918473295	-0.918473295
68	IGHVDJsum	Tumor2	0.084016815	0.084016815
69	JCHAIN	Tumor2	0.760539366	0.760539366
70	PRDM1	Tumor2	-0.577350269	-0.577350269
71	MZB1	Tumor2	0.194029414	0.194029414
72	SSR4	Tumor2	0.246776102	0.246776102
73	SLAMF7	Tumor2	0	0
74	IGHG2	Tumor2	-1.000444061	-1
75	TNFRSF17	Tumor2	-0.277350098	-0.277350098
76	JSRP1	Tumor2	0	0
77	IGLV6-57	Tumor2	-0.722430474	-0.722430474
78	IGLV3-1	Tumor2	-1.131575787	-1
79	IGLC7	Tumor2	-1.081499426	-1
80	DERL3	Tumor2	-0.291324775	-0.291324775
81	IGHA2	Tumor2	0	0
82	GPR183	Tumor2	-0.577350269	-0.577350269
83	CD44	Tumor2	0.707914571	0.707914571
84	TNFRSF13B	Tumor2	-0.577350269	-0.577350269
85	VIM	Tumor2	-0.680828566	-0.680828566
86	FCRL4	Tumor2	0	0
87	CCR1	Tumor2	-1.059625886	-1
88	ITGAX	Tumor2	1	1
89	EGR1	Tumor2	-1.129464905	-1
90	CD69	Tumor2	-0.577350269	-0.577350269
91	TXNIP	Tumor3	-0.464837129	-0.464837129
92	FCMR	Tumor3	-0.916777085	-0.916777085
93	SELL	Tumor3	-1.132163107	-1
94	BANK1	Tumor3	-0.577350269	-0.577350269
95	CCND2	Tumor3	-0.59177095	-0.59177095
96	PSME2	Tumor3	-0.9115808	-0.9115808
97	BHLHE40	Tumor3	0.725866186	0.725866186
98	PARVB	Tumor3	0.132453236	0.132453236
99	EBI3	Tumor3	-0.577350269	-0.577350269
100	BCL2A1	Tumor3	-0.577350269	-0.577350269
101	PRPSAP2	Tumor3	-1.154700538	-1
102	SERPINA9	Tumor3	0	0
103	CD27	Tumor3	-1.007848633	-1
104	CD38	Tumor3	-0.577350269	-0.577350269
105	BCL6	Tumor3	-0.875112421	-0.875112421
106	EZR	Tumor3	-0.534309323	-0.534309323
107	ISG20	Tumor3	-0.864482363	-0.864482363
108	AICDA	Tumor3	0	0
109	FRZB	Tumor3	1.154700538	1
110	HOPX	Tumor3	1.059789229	1
111	BTNL9	Tumor3	-0.577350269	-0.577350269
112	FGFR1	Tumor3	-0.146820367	-0.146820367
113	IGHVDJsum	Tumor3	-1.039357835	-1
114	JCHAIN	Tumor3	-1.132722276	-1
115	PRDM1	Tumor3	-0.577350269	-0.577350269
116	MZB1	Tumor3	-1.082795839	-1
117	SSR4	Tumor3	-1.100284241	-1
118	SLAMF7	Tumor3	-1	-1
119	IGHG2	Tumor3	0.000888714	0.000888714
120	TNFRSF17	Tumor3	-0.832050294	-0.832050294
121	JSRP1	Tumor3	0	0
122	IGLV6-57	Tumor3	-0.418894151	-0.418894151
123	IGLV3-1	Tumor3	0.366659345	0.366659345
124	IGLC7	Tumor3	0.891134136	0.891134136
125	DERL3	Tumor3	-0.821988069	-0.821988069
126	IGHA2	Tumor3	0	0
127	GPR183	Tumor3	1.154700538	1
128	CD44	Tumor3	-1.143984323	-1
129	TNFRSF13B	Tumor3	-0.577350269	-0.577350269
130	VIM	Tumor3	-0.467270277	-0.467270277
131	FCRL4	Tumor3	0	0
132	CCR1	Tumor3	0.132453236	0.132453236
133	ITGAX	Tumor3	-1	-1
134	EGR1	Tumor3	0.35680994	0.35680994
135	CD69	Tumor3	-0.577350269	-0.577350269
