ID	Gene	Group	score	bd.score
159	JCHAIN	mTLSm	-1.573836149	-1
160	PRDM1	mTLSm	-0.681655165	-0.681655165
161	MZB1	mTLSm	-0.280228728	-0.280228728
162	SSR4	mTLSm	-1.521008195	-1
163	SLAMF7	mTLSm	-1.319103784	-1
164	IGHG2	mTLSm	-0.294658102	-0.294658102
165	TNFRSF17	mTLSm	-0.482667328	-0.482667328
166	JSRP1	mTLSm	-0.736255538	-0.736255538
167	IGLV6-57	mTLSm	-0.415897098	-0.415897098
168	IGLV3-1	mTLSm	0.776044222	0.776044222
169	IGLC7	mTLSm	0	0
170	DERL3	mTLSm	-0.490464428	-0.490464428
171	IGHA2	mTLSm	-0.111593445	-0.111593445
172	GPR183	mTLSm	1.110084267	1
173	CD44	mTLSm	1.271785913	1
174	TNFRSF13B	mTLSm	1.654533345	1
175	VIM	mTLSm	0.364138439	0.364138439
176	FCRL4	mTLSm	-0.447213595	-0.447213595
177	CCR1	mTLSm	-1.258683495	-1
178	ITGAX	mTLSm	0.366879632	0.366879632
179	EGR1	mTLSm	-0.853922402	-0.853922402
180	CD69	mTLSm	0.253000478	0.253000478
181	TXNIP	mTLSc	-0.664036837	-0.664036837
182	FCMR	mTLSc	-0.198464315	-0.198464315
183	SELL	mTLSc	-0.633101112	-0.633101112
184	BANK1	mTLSc	-0.535366543	-0.535366543
185	CCND2	mTLSc	-0.674004112	-0.674004112
186	PSME2	mTLSc	0.273227745	0.273227745
187	BHLHE40	mTLSc	0.361090625	0.361090625
188	PARVB	mTLSc	1.252269572	1
189	EBI3	mTLSc	0.759706212	0.759706212
190	BCL2A1	mTLSc	1.28586493	1
191	PRPSAP2	mTLSc	1.686363337	1
192	SERPINA9	mTLSc	1.636535574	1
193	CD27	mTLSc	0.985835495	0.985835495
194	CD38	mTLSc	-0.671307209	-0.671307209
195	BCL6	mTLSc	1.691713218	1
196	EZR	mTLSc	1.673640176	1
197	ISG20	mTLSc	0.991385904	0.991385904
198	AICDA	mTLSc	-0.763626228	-0.763626228
199	FRZB	mTLSc	-1.043525518	-1
200	HOPX	mTLSc	-0.007459463	-0.007459463
201	BTNL9	mTLSc	0	0
202	FGFR1	mTLSc	-1.30011095	-1
203	IGHVDJsum	mTLSc	-1.150345536	-1
204	JCHAIN	mTLSc	1.059605535	1
205	PRDM1	mTLSc	0.922346816	0.922346816
206	MZB1	mTLSc	1.523937433	1
207	SSR4	mTLSc	0.141771719	0.141771719
208	SLAMF7	mTLSc	-0.384205108	-0.384205108
209	IGHG2	mTLSc	-0.766899261	-0.766899261
210	TNFRSF17	mTLSc	1.731491207	1
211	JSRP1	mTLSc	-0.736255538	-0.736255538
212	IGLV6-57	mTLSc	-0.437694622	-0.437694622
213	IGLV3-1	mTLSc	0.543503464	0.543503464
214	IGLC7	mTLSc	0	0
215	DERL3	mTLSc	-0.507512687	-0.507512687
216	IGHA2	mTLSc	1.562903052	1
217	GPR183	mTLSc	0.129048781	0.129048781
218	CD44	mTLSc	-0.310906078	-0.310906078
219	TNFRSF13B	mTLSc	-0.273672475	-0.273672475
220	VIM	mTLSc	-0.591452545	-0.591452545
221	FCRL4	mTLSc	-0.447213595	-0.447213595
222	CCR1	mTLSc	0.430800747	0.430800747
223	ITGAX	mTLSc	-0.560164708	-0.560164708
224	EGR1	mTLSc	-0.715499073	-0.715499073
225	CD69	mTLSc	-1.352278189	-1
